ID,Country,Region,Happiness Rank,Happiness Score
1,Denmark,Western Europe,1,7.526
2,Switzerland,Western Europe,2,7.509
3,Iceland,Western Europe,3,7.501
4,Norway,Western Europe,4,7.498
5,Finland,Western Europe,5,7.413
6,Canada,North America,6,7.404
7,Netherlands,Western Europe,7,7.339
8,New Zealand,Australia and New Zealand,8,7.334
9,Australia,Australia and New Zealand,9,7.313
10,Sweden,Western Europe,10,7.291
11,Israel,Middle East and Northern Africa,11,7.267
12,Austria,Western Europe,12,7.119
13,United States,North America,13,7.104
14,Costa Rica,Latin America and Caribbean,14,7.087
15,Puerto Rico,Latin America and Caribbean,15,7.039
16,Germany,Western Europe,16,6.994
17,Brazil,Latin America and Caribbean,17,6.952
18,Belgium,Western Europe,18,6.929
19,Ireland,Western Europe,19,6.907
20,Luxembourg,Western Europe,20,6.871
21,Mexico,Latin America and Caribbean,21,6.778
22,Singapore,Southeastern Asia,22,6.739
23,United Kingdom,Western Europe,23,6.725
24,Chile,Latin America and Caribbean,24,6.705
25,Panama,Latin America and Caribbean,25,6.701
26,Argentina,Latin America and Caribbean,26,6.65
27,Czech Republic,Central and Eastern Europe,27,6.596
28,United Arab Emirates,Middle East and Northern Africa,28,6.573
29,Uruguay,Latin America and Caribbean,29,6.545
30,Malta,Western Europe,30,6.488
31,Colombia,Latin America and Caribbean,31,6.481
32,France,Western Europe,32,6.478
33,Thailand,Southeastern Asia,33,6.474
34,Saudi Arabia,Middle East and Northern Africa,34,6.379
35,Taiwan,Eastern Asia,34,6.379
36,Qatar,Middle East and Northern Africa,36,6.375
37,Spain,Western Europe,37,6.361
38,Algeria,Middle East and Northern Africa,38,6.355
39,Guatemala,Latin America and Caribbean,39,6.324
40,Suriname,Latin America and Caribbean,40,6.269
41,Kuwait,Middle East and Northern Africa,41,6.239
42,Bahrain,Middle East and Northern Africa,42,6.218
43,Trinidad and Tobago,Latin America and Caribbean,43,6.168
44,Venezuela,Latin America and Caribbean,44,6.084
45,Slovakia,Central and Eastern Europe,45,6.078
46,El Salvador,Latin America and Caribbean,46,6.068
47,Malaysia,Southeastern Asia,47,6.005
48,Nicaragua,Latin America and Caribbean,48,5.992
49,Uzbekistan,Central and Eastern Europe,49,5.987
50,Italy,Western Europe,50,5.977
51,Ecuador,Latin America and Caribbean,51,5.976
52,Belize,Latin America and Caribbean,52,5.956
53,Japan,Eastern Asia,53,5.921
54,Kazakhstan,Central and Eastern Europe,54,5.919
55,Moldova,Central and Eastern Europe,55,5.897
56,Russia,Central and Eastern Europe,56,5.856
57,Poland,Central and Eastern Europe,57,5.835
58,South Korea,Eastern Asia,57,5.835
59,Bolivia,Latin America and Caribbean,59,5.822
60,Lithuania,Central and Eastern Europe,60,5.813
61,Belarus,Central and Eastern Europe,61,5.802
62,North Cyprus,Western Europe,62,5.771
